name,ra,dec,category,detail,instrument
LMC-410,85.54502916666667,-63.88899722222222,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-411,82.4333375,-63.903372222222224,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-413,84.27171666666666,-64.57851111111111,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-414,81.80782916666665,-61.813986111111106,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-416,101.44242083333332,-66.49915277777778,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-007,86.24509583333332,-72.69590277777777,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-008,96.85726666666666,-67.02168055555555,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-101,70.61061249999999,-65.763975,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-116,86.64652916666665,-64.3422361111111,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-202,76.21987083333332,-72.3452361111111,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-217,86.0007,-62.17983611111111,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC103,77.07164717041667,-62.60872910909445,nonMAGIC_Magellan,231221_MagE,MagE
LMC122,96.71451016566665,-64.43473936624723,nonMAGIC_Magellan,231221_MagE,MagE
LMC300,97.82480223954165,-78.41646635546945,nonMAGIC_Magellan,231221_MagE,MagE
LMC303,85.25592020883333,-75.33543382207499,nonMAGIC_Magellan,231221_MagE,MagE
LMC320,83.98254095987498,-61.30676704467778,nonMAGIC_Magellan,231221_MagE,MagE
LMC401,75.37371798916665,-71.56398265721667,nonMAGIC_Magellan,231221_MagE,MagE
LMC412,82.69792568966666,-63.66176474797222,nonMAGIC_Magellan,231221_MagE,MagE
LMC417,102.06144557512498,-67.10856943785,nonMAGIC_Magellan,231221_MagE,MagE
SMC503,357.2151730202917,-65.38488857654445,nonMAGIC_Magellan,231221_MagE,MagE
SMC541,13.944078867499996,-75.337479900825,nonMAGIC_Magellan,231221_MagE,MagE
SMC556,19.043474208499998,-73.98391228681389,nonMAGIC_Magellan,231221_MagE,MagE
SMC563,20.11259342058333,-74.52415324590834,nonMAGIC_Magellan,231221_MagE,MagE
SMC568,22.241634750333333,-72.72384978145,nonMAGIC_Magellan,231221_MagE,MagE
SMC572,22.743686532041664,-73.92422849992778,nonMAGIC_Magellan,231221_MagE,MagE
SMC576,24.768927240666663,-72.90315846291668,nonMAGIC_Magellan,231221_MagE,MagE
SMC577,25.126978395166663,-71.30407336524166,nonMAGIC_Magellan,231221_MagE,MagE
SMC582,28.520520588041663,-72.21637922734722,nonMAGIC_Magellan,231221_MagE,MagE
RetII_589,56.43177400729166,-53.21181530120278,nonMAGIC_Magellan,231221_MagE,MagE
RetII_590,56.51392247433333,-53.45090222454723,nonMAGIC_Magellan,231221_MagE,MagE
GMOS-1224918,6.0641807189397605,-51.23079520645306,GMOS,GS-2024A-FT-115,GMOS
GMOS-586059,7.40843354759296,-58.70650128482494,GMOS,GS-2024A-FT-115,GMOS
GMOS-4452396,11.974062418247119,-63.39306261352195,GMOS,GS-2024A-FT-115,GMOS
targ-38,25.12691876857137,-71.30407197564894,GMOS,GS-2026A-Q-133,GMOS
MAGIC10,77.86388440251798,-58.4040412569094,GMOS,GS-2025B-Q-324,GMOS
MAGIC15,88.35182670719358,-64.21485099399985,GMOS,GS-2025B-Q-324,GMOS
targ-9,90.1586397254813,-66.72062109404723,GMOS,GS-2026A-Q-133,GMOS
targ-8,90.5837909550347,-67.34037128529222,GMOS,GS-2026A-Q-133,GMOS
targ-7,90.6905085663395,-67.87466272540127,GMOS,GS-2026A-Q-133,GMOS
targ-6,90.8360861648396,-66.12617635658063,GMOS,GS-2026A-Q-133,GMOS
targ-5,91.16967291109795,-66.84296169426031,GMOS,GS-2026A-Q-133,GMOS
targ-4,91.83828279441879,-68.44751219844102,GMOS,GS-2026A-Q-133,GMOS
MAGIC22,92.0060861715913,-67.20805747295101,GMOS,GS-2025B-Q-324,GMOS
targ-3,92.79157129723365,-69.11039775163272,GMOS,GS-2026A-Q-133,GMOS
targ-2,92.89203904378326,-69.09298843129062,GMOS,GS-2026A-Q-133,GMOS
targ-1,92.94767388108691,-67.71319109577888,GMOS,GS-2026A-Q-133,GMOS
targ-84,93.7433446516295,-72.25647790804275,GMOS,GS-2026A-Q-133,GMOS
targ-83,94.042791157083,-67.6205885259959,GMOS,GS-2026A-Q-133,GMOS
targ-82,94.29424543370469,-73.99330542864705,GMOS,GS-2026A-Q-133,GMOS
targ-81,94.9508777155113,-67.07965900810858,GMOS,GS-2026A-Q-133,GMOS
MAGIC28,96.58050431122462,-70.1862756243727,GMOS,GS-2025B-Q-324,GMOS
targ-80,97.91861435765071,-63.64529505868199,GMOS,GS-2026A-Q-133,GMOS
targ-79,98.60781195244127,-65.96005412900746,GMOS,GS-2026A-Q-133,GMOS
targ-78,101.22791081966619,-59.91751033710288,GMOS,GS-2026A-Q-133,GMOS
targ-77,101.9358878549416,-71.5317108510404,GMOS,GS-2026A-Q-133,GMOS
MAGIC29,102.52028440498715,-66.9678340755343,GMOS,GS-2025B-Q-324,GMOS
